STATE,DISTRICT,CROP,YEAR,PRODUCTION_TONNES,AREA,SOURCE_URL
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,2000.0,1254.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,1.0,2.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,321.0,102.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,641.0,176.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,165.0,720.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,65100000.0,18168.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,100.0,36.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,2.0,1.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,15.0,5.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2000,2000,169.0,40.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2001,2001,2061.0,1254.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2001,2001,1.0,2.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2001,2001,300.0,83.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
