state_name,district_name,crop_year,season,crop,area_,production_
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Arecanut,1254.0,2000
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Other Kharif pulses,2.0,1
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,641
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Cashewnut,720.0,165
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Dry ginger,36.0,100
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sugarcane,1.0,2
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sweet potato,5.0,15
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Tapioca,40.0,169
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Arecanut,1254.0,2061
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Other Kharif pulses,2.0,1
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Cashewnut,719.0,192
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Dry ginger,46.0,100
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1.0,1
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sweet potato,11.0,33
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Arecanut,1258.0,2083
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213.0,1278
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Black pepper,63.0,13.5
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Cashewnut,719.0,208
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240.0,67490000
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry chillies,413.0,28.8
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry ginger,47.3,133
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Sugarcane,5.0,40
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Arecanut,1261.0,1525
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266.0,1763
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Black pepper,75.5,15.86
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Cashewnut,717.0,208.5
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Coconut,18284.74,68580000
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Dry chillies,60.0,102
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Dry ginger,102.0,326.4
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,other oilseeds,4.2,0.3
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Arecanut,1264.7,805.85
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,66.42,404.12
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Black pepper,85.0,15.86
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Cashewnut,683.5,197.9
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Dry chillies,60.0,145.2
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Dry ginger,118.0,366
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,other oilseeds,1.0,0.11
Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Arecanut,795.67,NA
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Banana,22.0,582
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Black pepper,41.0,0.1
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Cashewnut,450.0,55.8
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Coconut,13876.57,52030000
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Dry chillies,17.0,NA
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Turmeric,10.0,70
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Arecanut,896.0,477.6
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Banana,198.0,976
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Black pepper,22.16,0.68
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Cashewnut,450.0,85.13
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Coconut,14358.0,59370000
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Dry chillies,3.0,9
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Dry ginger,6.0,21
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sugarcane,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sweet potato,18.0,86
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Tapioca,52.03,450
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Turmeric,2.5,1.03
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Arecanut,944.0,1610
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Black pepper,23.0,8.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Cashewnut,1000.5,260.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Dry chillies,12.0,25
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Dry ginger,7.0,9.64
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Sweet potato,22.0,208
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Turmeric,2.0,0.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Urad,1.5,1.16
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Banana,593.0,3425
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Coconut,14560.0,71300000
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Tapioca,69.0,575
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Arecanut,3100.0,5200
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Other Kharif pulses,668.0,448
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531.0,12073
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Cashewnut,80.0,54
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Coconut,6992.0,23900000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Dry ginger,352.0,1120
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,other oilseeds,133.0,55
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sugarcane,141.0,3736
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sweet potato,78.0,843
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Tapioca,160.0,2108
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Arecanut,3100.0,5239
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Other Kharif pulses,418.0,199
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Cashewnut,81.0,33
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Coconut,7015.0,25250000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Dry ginger,344.0,1124
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sugarcane,81.0,2379
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sweet potato,100.0,5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Arecanut,1160.0,3011.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Banana,957.57,8582
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Black pepper,175.0,191.14
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Cashewnut,40.5,44
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Coconut,3575.0,15400000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Dry chillies,235.72,824.3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Dry ginger,98.66,929
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,other oilseeds,35.62,21.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Sugarcane,71.3,1500
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Sweet potato,30.0,240
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Tapioca,255.0,1420
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Turmeric,68.0,408
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,20118
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Sugarcane,73.33,889.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Arecanut,1296.0,2290
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Arhar/Tur,294.5,90.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Black pepper,168.0,13.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Cashewnut,84.5,39
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Dry chillies,254.0,402
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Dry ginger,110.0,1011.84
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Groundnut,4.75,6.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Maize,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Moong(Green Gram),1168.6,556.55
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Sunflower,2.9,1.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Sweet potato,109.0,480
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Turmeric,68.0,376.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Urad,1059.5,458.79
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Banana,657.0,7968
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Coconut,3668.0,12700000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Tapioca,186.5,1355
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Arecanut,3105.0,5267
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Banana,1524.0,10882
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Black pepper,487.0,102.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Cashewnut,81.0,24
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Coconut,7060.0,26830000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Dry chillies,239.0,20.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Dry ginger,352.0,1145
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,other oilseeds,85.1,40.31
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Sugarcane,455.0,13760
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Arecanut,3118.0,5182
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Banana,1530.0,11558
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Black pepper,497.0,104.37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Cashewnut,116.5,26.14
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Coconut,7110.0,26660000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Dry chillies,340.0,578
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Dry ginger,406.0,1299.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,other oilseeds,82.09,35.51
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Sugarcane,268.0,2879.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66
